userId,country,region
168767,United Kingdom,England
168781,United States,NULL
168868,United States,NULL
168878,India,NULL
168933,India,Karnataka
168977,United States,NULL
169116,India,West Bengal
169158,India,Telangana
169161,United Kingdom,England
169254,United States,Massachusetts
169271,United States,Indiana
169364,Japan,Osaka
169446,United States,Indiana
169597,United States,NULL
169641,Japan,NULL
169655,United States,Georgia
169800,Brazil,State of Minas Gerais
169812,France,Île-de-France
169832,Greece,NULL
169980,United States,NULL
170071,United States,District of Columbia
170170,China,Beijing
170214,United States,Texas
170262,Russia,NULL
170411,France,NULL
170478,Canada,NULL
170572,Australia,New South Wales
170636,India,Telangana
170683,United States,Oregon
170770,United States,NULL
170894,United States,NULL
170979,United States,New York
170998,United States,NULL
171005,United States,Missouri
171088,China,Zhejiang
171499,Russia,NULL
171533,Australia,New South Wales
171542,Hong Kong,NULL
171598,Ukraine,NULL
171623,Germany,NULL
56430,Brazil,State of Paraná
56581,India,NULL
56682,United Arab Emirates,Abu Dhabi
56714,Denmark,NULL
56887,United States,NULL
57018,United Kingdom,NULL
57044,Vietnam,NULL
57054,Iran,NULL
57201,Norway,NULL
57239,Japan,Tokyo
57362,United States,NULL
57379,United States,Wisconsin
57382,United States,California
57558,China,NULL
57576,Taiwan,NULL
57584,Estonia,NULL
57666,United States,NULL
57742,Spain,NULL
57782,United States,California
57790,Brazil,State of Rio Grande do Sul
57803,United States,Colorado
57827,United States,Massachusetts
57866,India,NULL
57895,United States,NULL
57992,United Kingdom,England
58099,Spain,Catalonia
58133,United States,California
58147,Poland,NULL
58207,India,Karnataka
58223,United States,California
58279,Singapore,NULL
58313,Denmark,NULL
58422,United States,Washington
58451,United States,NULL
58595,France,Île-de-France
58632,United States,NULL
58710,United States,NULL
58778,United States,NULL
58827,India,NULL
58837,Poland,NULL
58878,United States,NULL
58949,Pakistan,NULL
59004,United States,NULL
59023,United States,NULL
59036,United States,NULL
59068,Russia,Novosibirsk Oblast
59085,Romania,Bucharest
59136,Portugal,NULL
59205,China,Beijing
59230,India,Karnataka
59303,United Kingdom,Northern Ireland
59455,China,NULL
59456,United States,Minnesota
59467,United States,Washington
59470,Australia,Western Australia
59561,United States,Wisconsin
59645,United States,NULL
59689,India,Haryana
59716,Spain,Castile and León
59728,Australia,New South Wales
59785,Spain,Catalonia
59825,United States,California
59843,United States,California
60086,United States,California
60213,Russia,NULL
60247,United States,NULL
